,energy,Sb-271-281-291-301-s,Sb-271-281-291-301-p,Sb-271-281-291-301-d,Te-1:5-s,Te-1:5-p,Te-1:5-d
0,-14.242510630000002,0.0,0.0,0.0,0.0,0.0,0.0
1,-14.210510630000002,0.0,0.0,0.0,0.0,0.0,0.0
2,-14.17951063,0.0,0.0,0.0,0.0,0.0,0.0
3,-14.14751063,0.0,0.0,0.0,0.0,0.0,0.0
4,-14.11551063,0.0,0.0,0.0,0.0,0.0,0.0
5,-14.08451063,0.0,0.0,0.0,0.0,0.0,0.0
6,-14.05251063,0.0,0.0,0.0,0.0,0.0,0.0
7,-14.021510630000002,0.0,0.0,0.0,0.0,0.0,0.0
8,-13.989510630000002,0.0,0.0,0.0,0.0,0.0,0.0
9,-13.95851063,0.0,0.0,0.0,0.0,0.0,0.0
10,-13.92651063,0.0,0.0,0.0,0.0,0.0,0.0
11,-13.89451063,0.0,0.0,0.0,0.0,0.0,0.0
12,-13.86351063,0.0,0.0,0.0,0.0,0.0,0.0
13,-13.83151063,0.0,0.0,0.0,0.0,0.0,0.0
14,-13.800510630000002,0.0,0.0,0.0,0.0,0.0,0.0
15,-13.768510630000002,0.0,0.0,0.0,0.0,0.0,0.0
16,-13.736510630000001,0.0,0.0,0.0,0.0,0.0,0.0
17,-13.70551063,0.0,0.0,0.0,0.0,0.0,0.0
18,-13.673510629999999,0.0,0.0,0.0,0.0,0.0,0.0
19,-13.64251063,0.0,0.0,0.0,0.0,0.0,0.0
20,-13.61051063,0.0,0.0,0.0,0.0,0.0,0.0
21,-13.579510630000001,0.0,0.0,0.0,0.0,0.0,0.0
22,-13.547510630000001,0.0,0.0,0.0,0.0,0.0,0.0
23,-13.515510630000001,0.0,0.0,0.0,0.0,0.0,0.0
24,-13.48451063,0.0,0.0,0.0,0.0,0.0,0.0
25,-13.45251063,0.0,0.0,0.0,0.0,0.0,0.0
26,-13.42151063,0.0,0.0,0.0,0.0,0.0,0.0
27,-13.38951063,1.5786e-19,1.159151e-21,7.721115500000001e-23,6.21e-19,1.011661e-21,9.104822032000001e-23
28,-13.358510630000001,1.135e-16,8.33358e-19,5.5514353e-20,4.4658000000000005e-16,7.275310000000001e-19,6.546581630899999e-20
29,-13.326510630000001,6.806800000000001e-14,4.99801e-16,3.3292818e-17,2.6781e-13,4.363338e-16,3.9260677829e-17
30,-13.294510630000001,1.8648e-11,1.369416e-13,9.121760999999998e-15,7.337e-11,1.195264e-13,1.0756171686299999e-14
31,-13.26351063,2.3459e-09,1.722882e-11,1.1476191e-12,9.23e-09,1.5039389999999997e-11,1.3532093381e-12
32,-13.23151063,1.3646000000000002e-07,1.002316e-09,6.676542e-11,5.367999999999999e-07,8.75026e-10,7.868689586e-11
33,-13.20051063,3.7261e-06,2.7391099999999996e-08,1.8240759000000001e-09,1.4647e-05,2.395536e-08,2.1468695599999997e-09
34,-13.16851063,5.0121000000000003e-05,3.6945099999999994e-07,2.4618814999999998e-08,0.00019679000000000002,3.26448e-07,2.88400557e-08
35,-13.13651063,0.00038753,2.87847e-06,1.9296451000000003e-07,0.0015247,2.664389e-06,2.2349756199999998e-07
36,-13.105510630000001,0.0022824,1.71043e-05,1.1705713999999999e-06,0.009148,1.760885e-05,1.3445983e-06
37,-13.073510630000001,0.0106895,8.00921e-05,5.642340900000001e-06,0.044292,9.20149e-05,6.54464064e-06
38,-13.04251063,0.031091,0.0002322552,1.6772805e-05,0.13306,0.0002903447,1.98044292e-05
39,-13.01051063,0.049951,0.000381262,2.767092e-05,0.21898,0.0005182309999999999,3.33154755e-05
40,-12.97951063,0.051085000000000005,0.000450861,3.008088e-05,0.22439,0.000694488,3.7544384799999995e-05
41,-12.94751063,0.05198,0.000624185,3.358889e-05,0.21591000000000002,0.001055648,4.4247147299999995e-05
42,-12.91551063,0.066631,0.0009782530000000001,4.442948e-05,0.23897000000000002,0.00150835,5.4886076e-05
43,-12.884510630000001,0.088198,0.00154345,6.031139e-05,0.29057,0.00180511,6.3137148e-05
44,-12.852510630000001,0.10181699999999999,0.00266533,7.946003999999999e-05,0.41130999999999995,0.00222141,7.961075999999999e-05
45,-12.82151063,0.12318500000000002,0.00455154,0.00010894887000000001,0.6125,0.00290402,0.00010596095
46,-12.78951063,0.162575,0.00617986,0.0001421559,0.7826,0.00356769,0.0001275214
47,-12.75851063,0.17942999999999998,0.0062574,0.0001501565,0.8352999999999999,0.00415596,0.0001473839
48,-12.72651063,0.17198999999999998,0.0052580100000000005,0.00013480079999999997,0.8756,0.004657280000000001,0.00018262259999999998
49,-12.69451063,0.15635000000000002,0.0043526699999999995,0.00012052149999999999,0.9137000000000001,0.00479963,0.00021654710000000002
50,-12.663510630000001,0.13332,0.0043652299999999995,0.0001300816,0.8865000000000001,0.0049924,0.00022918249999999998
51,-12.631510630000001,0.1255,0.005619540000000001,0.0001710792,0.8583000000000001,0.0058243,0.0002325589
52,-12.60051063,0.12797999999999998,0.006904700000000001,0.00019541540000000003,0.8882999999999999,0.0067776,0.000230068
53,-12.56851063,0.12813,0.0076871000000000005,0.0001840328,1.0299,0.0077467,0.0002382135
54,-12.53651063,0.13544,0.0086607,0.00019803280000000003,1.0848,0.008281,0.0002440483
55,-12.50551063,0.15552,0.009174700000000001,0.00026992049999999994,0.9638,0.0081866,0.0002377035
56,-12.47351063,0.15974,0.008595700000000001,0.00033941700000000006,0.9457599999999999,0.0082405,0.0002477154
57,-12.442510630000001,0.12738,0.0077841,0.000345903,1.1178,0.0078476,0.000264536
58,-12.410510630000001,0.10567,0.0078459,0.000335346,1.4425000000000001,0.0070253,0.000294551
59,-12.37951063,0.1206,0.008823600000000001,0.00037656900000000005,1.7917999999999998,0.0067038,0.000349797
60,-12.34751063,0.13326,0.009602500000000002,0.000431583,1.7642,0.0065041000000000005,0.00035408499999999997
61,-12.31551063,0.14275,0.009996499999999998,0.00043595000000000005,1.4559000000000002,0.0063116000000000005,0.000300983
62,-12.28451063,0.18847999999999998,0.0102814,0.00041955899999999996,1.2969,0.0067692,0.00027872899999999997
63,-12.25251063,0.25432,0.0101059,0.00041114700000000005,1.2711999999999999,0.007552099999999999,0.000296754
64,-12.221510630000001,0.27774,0.010232600000000001,0.00041646000000000006,1.1937000000000002,0.0082974,0.000338067
65,-12.189510630000001,0.23777,0.011221100000000001,0.000460978,1.0642,0.008888,0.000407568
66,-12.15851063,0.186,0.0119145,0.000544674,1.0150000000000001,0.0088095,0.000463208
67,-12.12651063,0.17674,0.0121987,0.000638554,1.1443,0.0090605,0.0005101099999999999
68,-12.09451063,0.21822,0.014100799999999998,0.000707183,1.5545999999999998,0.0109065,0.000589008
69,-12.06351063,0.28293,0.0174592,0.000735612,2.1897,0.0131809,0.000655798
70,-12.03151063,0.32137,0.0190499,0.000701409,2.6794999999999995,0.0143811,0.000662433
71,-12.00051063,0.32227,0.018868000000000003,0.000651263,2.809,0.014366899999999998,0.000610998
72,-11.96851063,0.3184,0.019531299999999998,0.000674841,2.7641,0.013824199999999998,0.000551451
73,-11.93651063,0.31212999999999996,0.020322,0.0007474769999999999,2.7445999999999997,0.0132572,0.000546394
74,-11.90551063,0.30841,0.021325999999999998,0.00086716,2.9177,0.013226,0.000640282
