,energy,Sb-271-s,Sb-271-p,Sb-271-d,Sb-272-s,Sb-272-p,Sb-272-d,Te-1-s,Te-1-p,Te-1-d,Te-2-s,Te-2-p,Te-2-d
0,-14.242510630000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-14.210510630000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-14.17951063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-14.14751063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-14.11551063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-14.08451063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-14.05251063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-14.021510630000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-13.989510630000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-13.95851063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,-13.92651063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-13.89451063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,-13.86351063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,-13.83151063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,-13.800510630000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,-13.768510630000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,-13.736510630000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,-13.70551063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,-13.673510629999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,-13.64251063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,-13.61051063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,-13.579510630000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,-13.547510630000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,-13.515510630000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,-13.48451063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,-13.45251063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,-13.42151063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,-13.38951063,7.307e-20,3.63703e-22,4.4738699999999995e-23,2.959e-20,3.4968e-22,1.1603299999999999e-23,1.247e-19,4.0331e-22,4.3023e-23,1.645e-19,3.40212e-22,3.6697885300000006e-23
28,-13.358510630000001,5.254e-17,2.6145300000000004e-19,3.21669e-20,2.128e-17,2.5134e-19,8.3423e-21,8.968e-17,2.9004e-19,3.0935e-20,1.183e-16,2.44667e-19,2.63861927e-20
29,-13.326510630000001,3.151e-14,1.56772e-16,1.9291400000000002e-17,1.276e-14,1.5075999999999998e-16,5.0029999999999995e-18,5.378e-14,1.7395000000000002e-16,1.8551000000000002e-17,7.095e-14,1.46739e-16,1.58251955e-17
30,-13.294510630000001,8.633e-12,4.29646e-14,5.2858500000000005e-15,3.496e-12,4.1308e-14,1.3707800000000002e-15,1.473e-11,4.7645e-14,5.081800000000001e-15,1.944e-11,4.0197e-14,4.33615094e-15
31,-13.26351063,1.086e-09,5.4061e-12,6.651280000000001e-13,4.398e-10,5.1987e-12,1.72505e-13,1.853e-09,5.9917e-12,6.392299999999999e-13,2.445e-09,5.0593e-12,5.4559618e-13
32,-13.23151063,6.322e-08,3.14705e-10,3.87283e-11,2.559e-08,3.0286e-10,1.00393e-11,1.077e-07,3.4794000000000004e-10,3.7141e-11,1.422e-07,2.94726e-10,3.17500906e-11
33,-13.20051063,1.731e-06,8.6203e-09,1.061406e-09,7e-07,8.322e-09,2.74875e-10,2.932e-06,9.4599e-09,1.0102e-09,3.876e-06,8.1014e-09,8.6882601e-10
34,-13.16851063,2.353e-05,1.1726599999999999e-07,1.44981e-08,9.488e-06,1.1456e-07,3.73527e-09,3.909e-05,1.2643e-07,1.345e-08,5.186e-05,1.11439e-07,1.1768812e-08
35,-13.13651063,0.0001882,9.3184e-07,1.17527e-07,7.528e-05,9.402e-07,2.96931e-08,0.0002984,1.0083400000000002e-06,1.0287999999999999e-07,0.0003962,9.0977e-07,9.222765499999999e-08
36,-13.105510630000001,0.001169,5.6185000000000005e-06,7.44347e-07,0.0004643,5.909e-06,1.8102999999999997e-07,0.001795,7.0312000000000005e-06,6.3179e-07,0.002317,5.6213e-06,5.4275545e-07
37,-13.073510630000001,0.005654,2.5885e-05,3.6327300000000004e-06,0.002251,2.7633e-05,8.528699999999999e-07,0.009042,4.1785999999999996e-05,3.2951e-06,0.01101,2.56281e-05,2.4515796400000002e-06
38,-13.04251063,0.01661,7.2324e-05,1.06819e-05,0.006659,7.657000000000001e-05,2.43927e-06,0.02862,0.00014905999999999999,1.0769999999999999e-05,0.03272,6.9151e-05,6.7369444e-06
39,-13.01051063,0.02689,0.00011224800000000001,1.72921e-05,0.0108,0.00011619,3.82556e-06,0.05011,0.00029566,1.9580000000000002e-05,0.05287,0.00010384000000000001,1.00980065e-05
