,energy,Total
0,-14.242510630000002,0.0
1,-14.210510630000002,0.0
2,-14.17951063,0.0
3,-14.14751063,0.0
4,-14.11551063,0.0
5,-14.08451063,0.0
6,-14.05251063,0.0
7,-14.021510630000002,0.0
8,-13.989510630000002,0.0
9,-13.95851063,0.0
10,-13.92651063,0.0
11,-13.89451063,0.0
12,-13.86351063,0.0
13,-13.83151063,0.0
14,-13.800510630000002,0.0
15,-13.768510630000002,0.0
16,-13.736510630000001,0.0
17,-13.70551063,0.0
18,-13.673510629999999,0.0
19,-13.64251063,0.0
20,-13.61051063,0.0
21,-13.579510630000001,0.0
22,-13.547510630000001,0.0
23,-13.515510630000001,0.0
24,-13.48451063,0.0
25,-13.45251063,0.0
26,-13.42151063,0.0
27,-13.38951063,3.516e-15
28,-13.358510630000001,2.528e-12
29,-13.326510630000001,1.516e-09
30,-13.294510630000001,4.152e-07
31,-13.26351063,5.22e-05
32,-13.23151063,0.003025
33,-13.20051063,0.0813
34,-13.16851063,1.022
35,-13.13651063,6.11
36,-13.105510630000001,18.27
37,-13.073510630000001,31.96
38,-13.04251063,43.48
39,-13.01051063,49.41
40,-12.97951063,45.26
41,-12.94751063,47.5
42,-12.91551063,56.79
43,-12.884510630000001,67.08
44,-12.852510630000001,93.47
45,-12.82151063,127.8
46,-12.78951063,144.0
47,-12.75851063,147.0
48,-12.72651063,145.6
49,-12.69451063,134.2
50,-12.663510630000001,126.5
51,-12.631510630000001,141.4
52,-12.60051063,164.7
53,-12.56851063,182.2
54,-12.53651063,190.2
55,-12.50551063,190.4
56,-12.47351063,187.1
57,-12.442510630000001,179.2
58,-12.410510630000001,174.3
59,-12.37951063,179.2
60,-12.34751063,185.0
61,-12.31551063,184.5
62,-12.28451063,186.2
63,-12.25251063,194.2
64,-12.221510630000001,211.5
65,-12.189510630000001,227.4
66,-12.15851063,225.8
67,-12.12651063,225.8
68,-12.09451063,247.7
69,-12.06351063,280.2
70,-12.03151063,302.4
71,-12.00051063,313.3
72,-11.96851063,316.5
73,-11.93651063,312.0
74,-11.90551063,315.1
75,-11.87351063,329.1
76,-11.84251063,344.1
77,-11.81051063,360.2
78,-11.77951063,371.1
79,-11.74751063,360.7
80,-11.71551063,331.4
81,-11.68451063,310.3
82,-11.65251063,315.5
83,-11.62151063,330.1
84,-11.58951063,337.5
85,-11.55851063,338.5
86,-11.52651063,325.0
87,-11.49451063,299.6
88,-11.46351063,290.7
89,-11.43151063,309.2
90,-11.40051063,337.3
91,-11.36851063,360.3
92,-11.33651063,367.3
93,-11.30551063,363.0
94,-11.27351063,353.5
95,-11.242510630000002,332.6
96,-11.210510630000002,316.1
97,-11.17951063,311.1
98,-11.14751063,304.0
99,-11.11551063,303.3
100,-11.08451063,302.8
101,-11.05251063,290.6
102,-11.021510630000002,277.6
103,-10.989510630000002,271.4
104,-10.95851063,270.6
105,-10.92651063,263.4
106,-10.89451063,259.2
107,-10.86351063,265.8
108,-10.83151063,271.9
109,-10.80051063,279.7
110,-10.76851063,285.0
111,-10.736510630000001,280.2
112,-10.705510630000001,272.4
113,-10.67351063,265.5
114,-10.64251063,260.2
115,-10.61051063,268.1
116,-10.579510630000001,289.2
117,-10.547510630000001,301.2
118,-10.515510630000001,293.9
119,-10.48451063,278.8
120,-10.45251063,266.5
121,-10.42151063,254.0
122,-10.38951063,245.6
123,-10.358510630000001,256.0
124,-10.326510630000001,279.2
125,-10.294510630000001,292.4
126,-10.26351063,288.9
127,-10.23151063,286.2
128,-10.20051063,291.1
129,-10.16851063,302.2
130,-10.13651063,314.4
131,-10.105510630000001,317.4
132,-10.073510630000001,319.6
133,-10.04251063,336.5
134,-10.01051063,359.5
135,-9.97951063,372.1
136,-9.94751063,365.1
137,-9.91551063,350.5
138,-9.884510630000001,348.3
139,-9.852510630000001,349.4
140,-9.82151063,348.8
141,-9.78951063,364.8
142,-9.75751063,383.4
143,-9.72651063,384.4
144,-9.69451063,367.1
145,-9.663510630000001,337.4
146,-9.631510630000001,313.6
147,-9.60051063,315.1
148,-9.56851063,332.0
149,-9.53651063,339.3
150,-9.50551063,328.7
151,-9.47351063,308.8
152,-9.442510630000001,300.6
153,-9.410510630000001,316.5
154,-9.37951063,339.4
155,-9.34751063,337.6
156,-9.31551063,318.3
157,-9.28451063,313.2
158,-9.25251063,324.7
159,-9.221510630000001,334.1
160,-9.189510630000001,327.0
161,-9.15751063,305.2
162,-9.12651063,283.2
163,-9.09451063,285.4
164,-9.06351063,303.7
165,-9.03151063,309.5
166,-9.00051063,314.9
167,-8.96851063,313.2
168,-8.93651063,289.3
169,-8.90551063,274.0
170,-8.87351063,278.0
171,-8.84251063,280.8
172,-8.81051063,277.3
173,-8.77951063,282.3
174,-8.74751063,305.9
175,-8.71551063,322.9
176,-8.68451063,316.3
177,-8.65251063,299.1
178,-8.62151063,290.7
179,-8.58951063,286.3
180,-8.55751063,281.7
181,-8.52651063,289.1
182,-8.49451063,302.5
183,-8.46351063,299.3
184,-8.43151063,281.7
185,-8.40051063,274.1
186,-8.368510630000001,286.2
187,-8.336510630000001,294.6
188,-8.30551063,282.6
189,-8.27351063,270.3
190,-8.24251063,264.3
191,-8.21051063,259.4
192,-8.179510630000001,256.8
193,-8.147510630000001,256.7
194,-8.115510630000001,261.9
195,-8.08451063,269.6
196,-8.05251063,276.8
197,-8.02151063,274.6
198,-7.989510630000001,265.5
199,-7.957510630000001,259.5
200,-7.92651063,252.1
201,-7.89451063,234.7
202,-7.86351063,213.8
203,-7.83151063,205.4
204,-7.800510630000001,208.8
205,-7.768510630000001,197.8
206,-7.736510630000001,186.1
207,-7.70551063,200.8
208,-7.673510630000001,216.5
209,-7.64251063,204.0
210,-7.61051063,180.8
211,-7.579510630000001,165.5
212,-7.5475106300000006,153.0
213,-7.5155106300000005,139.3
214,-7.484510630000001,129.7
215,-7.452510630000001,128.5
216,-7.42151063,126.3
217,-7.38951063,109.0
218,-7.35751063,83.49
219,-7.3265106300000005,76.07
220,-7.29451063,81.4
221,-7.263510630000001,77.98
222,-7.231510630000001,77.83
223,-7.20051063,96.03
224,-7.16851063,114.3
225,-7.13651063,113.0
226,-7.10551063,100.1
227,-7.07351063,92.89
228,-7.042510630000001,89.92
229,-7.010510630000001,82.5
230,-6.97951063,79.39
231,-6.94751063,84.96
232,-6.91551063,99.18
233,-6.88451063,115.9
234,-6.85251063,113.7
235,-6.821510630000001,96.53
236,-6.7895106300000005,85.61
237,-6.7575106300000005,81.21
238,-6.726510630000001,73.06
239,-6.694510630000001,62.14
240,-6.66351063,49.8
241,-6.63151063,45.85
242,-6.6005106300000005,57.17
243,-6.5685106300000005,67.63
244,-6.53651063,68.06
245,-6.505510630000001,61.04
246,-6.473510630000001,60.52
247,-6.44251063,66.5
248,-6.41051063,62.7
249,-6.37951063,49.77
250,-6.34751063,39.06
251,-6.31551063,41.39
252,-6.284510630000001,56.4
253,-6.252510630000001,71.82
254,-6.22151063,80.52
255,-6.18951063,71.57
256,-6.157510630000001,43.03
257,-6.12651063,15.26
258,-6.09451063,4.454
259,-6.063510630000001,10.03
260,-6.0315106300000005,28.63
261,-6.000510630000001,41.93
262,-5.968510630000001,30.88
263,-5.936510630000001,11.39
264,-5.90551063,2.08
265,-5.87351063,0.1852
266,-5.8425106300000005,0.008219
267,-5.8105106300000005,0.01381
268,-5.779510630000001,0.2848
269,-5.747510630000001,2.858
270,-5.715510630000001,14.04
271,-5.68451063,34.75
272,-5.65251063,48.4
273,-5.62151063,59.89
274,-5.58951063,98.01
275,-5.55751063,131.8
276,-5.526510630000001,128.9
277,-5.494510630000001,144.5
278,-5.46351063,204.6
279,-5.43151063,261.9
280,-5.40051063,266.4
281,-5.36851063,213.1
282,-5.33651063,164.2
283,-5.305510630000001,150.6
284,-5.2735106300000005,136.4
285,-5.24251063,118.7
286,-5.21051063,140.9
287,-5.17951063,189.9
288,-5.14751063,214.5
289,-5.11551063,231.3
290,-5.0845106300000005,261.4
291,-5.0525106300000004,280.7
292,-5.02151063,279.1
293,-4.989510630000001,269.4
294,-4.957510630000001,276.9
295,-4.92651063,307.7
296,-4.89451063,307.3
297,-4.86351063,241.1
298,-4.83151063,177.0
299,-4.80051063,200.4
300,-4.76851063,296.1
301,-4.736510630000001,393.8
302,-4.705510630000001,461.5
303,-4.673510630000001,495.7
304,-4.64251063,498.3
305,-4.61051063,475.2
306,-4.579510630000001,434.3
307,-4.5475106300000006,398.9
308,-4.5155106300000005,385.0
309,-4.484510630000001,387.7
310,-4.452510630000001,393.4
311,-4.42151063,388.6
312,-4.38951063,394.3
313,-4.35751063,430.2
314,-4.3265106300000005,480.0
315,-4.29451063,521.2
316,-4.263510630000001,535.0
317,-4.231510630000001,517.9
318,-4.20051063,495.6
319,-4.16851063,485.7
320,-4.13651063,493.0
321,-4.10551063,511.8
322,-4.07351063,523.2
323,-4.042510630000001,526.7
324,-4.010510630000001,528.8
325,-3.9795106300000005,519.2
326,-3.9475106300000005,506.8
327,-3.9155106300000004,496.7
328,-3.8845106300000003,478.4
329,-3.8525106300000003,478.1
330,-3.8215106300000006,519.2
331,-3.7895106300000005,570.2
332,-3.7575106300000005,593.1
333,-3.7265106300000004,579.6
334,-3.6945106300000004,555.7
335,-3.66351063,552.5
336,-3.63151063,571.5
337,-3.6005106300000005,594.5
338,-3.5685106300000005,609.8
339,-3.5365106300000004,622.7
340,-3.5055106300000003,644.0
341,-3.4735106300000003,671.0
342,-3.4425106300000006,693.2
343,-3.4105106300000005,707.6
344,-3.3785106300000005,711.2
345,-3.3475106300000004,700.7
346,-3.3155106300000003,696.9
347,-3.28451063,696.8
348,-3.25251063,686.8
349,-3.2215106300000005,693.3
350,-3.1895106300000005,710.5
351,-3.1575106300000004,698.7
352,-3.1265106300000003,658.4
353,-3.0945106300000003,616.7
354,-3.0635106300000006,588.3
355,-3.0315106300000005,570.7
356,-3.0005106300000004,562.6
357,-2.9685106300000004,552.9
358,-2.9365106300000003,541.1
359,-2.90551063,540.0
360,-2.87351063,549.8
361,-2.8425106300000005,572.9
362,-2.8105106300000005,600.4
363,-2.7785106300000004,626.8
364,-2.7475106300000007,660.2
365,-2.7155106300000007,681.0
366,-2.68451063,684.6
367,-2.65251063,679.9
368,-2.6215106300000004,665.2
369,-2.5895106300000004,654.5
370,-2.5575106300000003,649.4
371,-2.5265106300000006,633.2
372,-2.4945106300000006,601.3
373,-2.46351063,585.2
374,-2.43151063,593.7
375,-2.4005106300000003,599.8
376,-2.3685106300000003,589.4
377,-2.3365106300000003,567.3
378,-2.3055106300000006,543.1
379,-2.2735106300000005,522.0
380,-2.242510630000001,514.3
381,-2.210510630000001,525.6
382,-2.178510630000001,535.4
383,-2.14751063,526.4
384,-2.11551063,511.4
385,-2.0845106300000005,515.5
386,-2.0525106300000004,536.8
387,-2.0215106300000008,554.0
388,-1.9895106300000007,561.2
389,-1.9575106300000007,566.7
390,-1.9265106300000001,574.9
391,-1.89451063,576.3
392,-1.8635106300000004,570.3
393,-1.8315106300000004,571.0
394,-1.8005106300000007,566.6
395,-1.7685106300000006,557.5
396,-1.7365106300000006,567.0
397,-1.70551063,587.3
398,-1.67351063,599.6
399,-1.6425106300000003,600.4
400,-1.6105106300000003,595.3
401,-1.5785106300000002,585.9
402,-1.5475106300000006,565.2
403,-1.5155106300000005,528.7
404,-1.4845106300000008,493.9
405,-1.4525106300000008,481.2
406,-1.4215106300000002,480.4
407,-1.3895106300000002,474.1
408,-1.3575106300000002,465.6
409,-1.3265106300000005,469.3
410,-1.2945106300000004,486.2
411,-1.2635106300000007,513.1
412,-1.2315106300000007,537.4
413,-1.2005106300000001,536.8
414,-1.16851063,519.4
415,-1.13651063,506.6
416,-1.1055106300000004,503.0
417,-1.0735106300000004,498.0
418,-1.0425106300000007,492.4
419,-1.0105106300000006,493.9
420,-0.9785106300000006,491.0
421,-0.94751063,476.7
422,-0.91551063,460.9
423,-0.8845106300000003,444.4
424,-0.8525106300000003,429.4
425,-0.8215106300000006,426.9
426,-0.7895106300000005,434.6
427,-0.7575106300000005,445.9
428,-0.7265106300000008,457.8
429,-0.6945106300000008,466.0
430,-0.6635106300000002,467.9
431,-0.6315106300000002,458.8
432,-0.6005106300000005,455.2
433,-0.5685106300000005,474.2
434,-0.5365106300000004,483.9
435,-0.5055106300000007,462.3
436,-0.4735106300000007,440.6
437,-0.4425106300000001,433.4
438,-0.4105106300000001,423.8
439,-0.37851063000000007,419.7
440,-0.3475106300000004,425.2
441,-0.31551063000000035,418.8
442,-0.28451063000000065,404.8
443,-0.2525106300000006,405.3
444,-0.22151063000000004,412.4
445,-0.18951063,413.6
446,-0.15751062999999998,415.0
447,-0.1265106300000003,411.5
448,-0.09451063000000026,401.6
449,-0.06351063000000057,386.6
450,-0.03151063000000054,354.2
451,-0.0005106299999999564,320.5
452,0.031489369999999184,330.3
453,0.06348936999999921,372.7
454,0.0944893699999998,398.2
455,0.12648936999999982,405.9
456,0.15748936999999952,411.2
457,0.18948936999999955,412.8
458,0.22148936999999957,412.4
459,0.25248936999999927,412.6
460,0.2844893699999993,417.3
461,0.3154893699999999,423.3
462,0.3474893699999999,426.1
463,0.3784893699999996,427.7
464,0.41048936999999963,421.5
465,0.44248936999999966,412.8
466,0.47348936999999935,412.2
467,0.5054893699999994,407.8
468,0.53648937,396.3
469,0.56848937,399.2
470,0.5994893699999997,425.7
471,0.6314893699999997,442.2
472,0.6634893699999997,423.8
473,0.6944893699999994,407.8
474,0.7264893699999995,415.9
475,0.7574893699999992,416.9
476,0.7894893699999992,403.1
477,0.8214893699999992,395.9
478,0.8524893699999998,400.6
479,0.8844893699999998,404.7
480,0.9154893699999995,410.5
481,0.9474893699999996,421.6
482,0.9784893699999992,431.3
483,1.0104893699999993,439.2
484,1.0424893699999993,439.6
485,1.0734893699999999,435.1
486,1.10548937,430.2
487,1.1364893699999987,425.1
488,1.1684893699999988,420.7
489,1.1994893699999993,422.7
490,1.2314893699999994,431.0
491,1.2634893699999994,435.8
492,1.29448937,426.1
493,1.32648937,412.4
494,1.3574893699999988,414.6
495,1.3894893699999988,438.3
496,1.4214893699999989,456.9
497,1.4524893699999994,445.7
498,1.4844893699999995,427.6
499,1.51548937,423.2
500,1.54748937,417.5
501,1.578489369999999,410.4
502,1.610489369999999,415.2
503,1.642489369999999,421.1
504,1.6734893699999995,416.4
505,1.7054893699999996,412.0
506,1.7364893700000001,406.3
507,1.7684893700000002,399.1
508,1.799489369999999,398.0
509,1.831489369999999,401.3
510,1.863489369999999,413.2
511,1.8944893699999996,434.8
512,1.9264893699999996,453.5
513,1.9574893700000002,461.4
514,1.9894893700000003,464.4
515,2.0214893700000003,470.0
516,2.052489369999999,476.5
517,2.084489369999999,481.3
518,2.1154893699999997,488.2
519,2.1474893699999997,501.8
520,2.1784893700000003,522.9
521,2.2104893700000003,533.1
522,2.2424893700000004,521.2
523,2.273489369999999,512.3
524,2.305489369999999,527.8
525,2.33648937,540.9
526,2.36848937,531.8
527,2.40048937,517.8
528,2.4314893700000004,512.8
529,2.4634893700000005,513.6
530,2.4944893699999993,516.9
531,2.5264893699999993,524.8
532,2.55748937,533.7
533,2.58948937,534.8
534,2.62148937,527.1
535,2.6524893699999987,530.1
536,2.6844893699999988,540.5
537,2.7154893699999993,543.3
538,2.7474893699999994,548.8
539,2.77848937,554.5
540,2.81048937,556.4
541,2.84248937,581.7
542,2.873489369999999,621.2
543,2.905489369999999,628.9
544,2.9364893699999994,609.0
545,2.9684893699999995,595.1
546,3.0004893699999995,592.5
547,3.03148937,586.3
548,3.06348937,562.8
549,3.094489369999999,542.3
550,3.126489369999999,553.1
551,3.1574893699999995,571.2
552,3.1894893699999995,576.1
553,3.2214893699999996,579.9
554,3.25248937,588.2
555,3.28448937,588.6
556,3.315489369999999,587.5
557,3.347489369999999,594.4
558,3.3784893699999996,590.9
559,3.4104893699999996,575.9
560,3.4424893699999997,568.0
561,3.4734893700000002,568.8
562,3.5054893700000003,566.4
563,3.536489369999999,565.5
564,3.568489369999999,581.7
565,3.600489369999999,605.6
566,3.6314893699999997,611.7
567,3.6634893699999997,611.1
568,3.6944893700000003,618.8
569,3.7264893700000004,605.7
570,3.757489369999999,575.2
571,3.789489369999999,567.8
572,3.821489369999999,579.2
573,3.85248937,585.7
574,3.88448937,596.3
575,3.9154893700000004,623.8
576,3.9474893700000004,656.5
577,3.9784893699999992,674.1
578,4.010489369999999,673.4
579,4.042489369999999,654.1
580,4.07348937,629.4
581,4.10548937,631.7
582,4.136489369999999,656.3
583,4.168489369999999,668.4
584,4.200489369999999,662.8
585,4.231489369999999,640.9
586,4.263489369999999,613.6
587,4.29448937,604.4
588,4.32648937,610.7
589,4.357489369999999,619.2
590,4.389489369999999,621.0
591,4.421489369999999,620.5
592,4.4524893699999994,623.2
593,4.4844893699999995,623.4
594,4.51548937,626.2
595,4.54748937,633.1
596,4.578489369999999,632.1
597,4.610489369999999,624.5
598,4.642489369999999,611.2
599,4.6734893699999995,610.4
600,4.70548937,637.0
601,4.73648937,665.7
602,4.76848937,663.6
603,4.80048937,636.2
604,4.831489369999999,609.6
605,4.863489369999999,583.3
606,4.89448937,569.8
607,4.92648937,582.2
608,4.95748937,594.9
609,4.98948937,585.1
610,5.02148937,558.3
611,5.052489369999999,527.7
612,5.084489369999999,502.5
613,5.11548937,491.0
614,5.14748937,479.6
615,5.17848937,447.1
616,5.21048937,424.3
617,5.24248937,445.9
618,5.273489369999999,480.6
619,5.305489369999999,479.1
620,5.33648937,448.8
621,5.36848937,422.3
622,5.40048937,398.5
623,5.43148937,368.7
624,5.4634893700000005,353.8
625,5.494489369999999,356.3
626,5.526489369999999,359.9
627,5.55748937,385.1
628,5.58948937,443.4
629,5.62148937,496.5
630,5.652489369999999,493.0
631,5.684489369999999,423.1
632,5.715489369999999,354.7
633,5.747489369999999,362.4
634,5.77848937,419.0
635,5.81048937,455.0
636,5.84248937,468.8
637,5.873489369999999,472.2
638,5.905489369999999,463.0
639,5.936489369999999,445.0
640,5.9684893699999995,419.9
641,6.0004893699999995,383.7
642,6.03148937,339.1
643,6.06348937,312.8
644,6.094489369999999,302.5
645,6.126489369999999,282.8
646,6.1574893699999995,254.5
647,6.1894893699999995,224.2
648,6.22148937,203.4
649,6.25248937,203.6
650,6.28448937,247.7
651,6.315489369999999,340.0
652,6.347489369999999,398.5
653,6.37848937,373.2
654,6.41048937,312.1
655,6.44248937,253.5
656,6.47348937,217.5
657,6.50548937,239.7
658,6.536489369999999,313.9
659,6.568489369999999,411.5
660,6.600489369999999,499.7
661,6.63148937,554.4
662,6.66348937,571.4
663,6.69448937,554.6
664,6.72648937,534.9
665,6.757489369999999,521.0
666,6.789489369999999,509.9
667,6.821489369999999,536.3
668,6.85248937,612.5
669,6.88448937,686.3
670,6.91548937,701.1
671,6.94748937,651.9
672,6.978489369999999,587.1
673,7.010489369999999,563.5
674,7.042489369999999,576.5
675,7.07348937,601.4
676,7.10548937,638.0
677,7.136489369999999,665.6
678,7.168489369999999,647.5
679,7.200489369999999,570.7
680,7.231489369999999,452.6
681,7.263489369999999,347.6
682,7.29448937,288.1
683,7.32648937,270.1
684,7.357489369999999,313.1
685,7.389489369999999,389.7
686,7.421489369999999,443.3
687,7.4524893699999994,482.1
688,7.4844893699999995,546.9
689,7.51548937,630.3
690,7.54748937,687.6
691,7.578489369999999,701.2
692,7.610489369999999,692.5
693,7.642489369999999,673.3
694,7.6734893699999995,639.8
695,7.70548937,601.4
696,7.73648937,570.0
697,7.76848937,568.2
698,7.80048937,604.7
699,7.831489369999999,659.5
700,7.863489369999999,702.7
701,7.89448937,696.5
702,7.92648937,642.1
703,7.95748937,611.6
704,7.98948937,635.9
705,8.021489370000001,668.1
706,8.05248937,697.0
707,8.08448937,740.4
708,8.115489369999999,768.1
709,8.147489369999999,762.0
710,8.179489369999999,743.5
711,8.210489370000001,707.0
712,8.242489370000001,644.1
713,8.27348937,589.6
714,8.30548937,573.6
715,8.336489369999999,585.6
716,8.368489369999999,604.5
717,8.400489369999999,627.0
718,8.431489370000001,657.0
719,8.463489370000001,676.2
720,8.49448937,675.0
721,8.52648937,680.8
722,8.557489369999999,702.4
723,8.589489369999999,703.0
724,8.621489369999999,682.9
725,8.652489369999998,665.5
726,8.684489369999998,653.2
727,8.71548937,661.4
728,8.74748937,693.5
729,8.77948937,712.5
730,8.810489369999999,699.8
731,8.84248937,657.7
732,8.873489369999998,597.3
733,8.905489369999998,551.2
734,8.93648937,521.9
735,8.96848937,478.7
736,9.00048937,405.8
737,9.03148937,304.4
738,9.06348937,189.6
739,9.094489369999998,93.89
740,9.126489369999998,37.12
741,9.15748937,10.79
742,9.18948937,1.9
743,9.22148937,0.1744
744,9.25248937,0.007762
745,9.28448937,0.0001625
746,9.315489370000002,1.578e-06
747,9.347489370000002,7.051e-09
748,9.379489370000002,1.443e-11
749,9.41048937,1.406e-14
750,9.44248937,0.0
751,9.47348937,0.0
752,9.50548937,0.0
753,9.536489370000002,0.0
754,9.568489370000002,0.0
755,9.600489370000002,3.867e-13
756,9.63148937,2.864e-10
757,9.66348937,9.707e-08
758,9.69448937,1.508e-05
759,9.72648937,0.001079
760,9.757489370000002,0.03571
761,9.789489370000002,0.5501
762,9.821489370000002,3.968
763,9.85248937,13.49
764,9.88448937,21.69
765,9.91548937,16.53
766,9.94748937,5.968
767,9.97948937,1.016
768,10.010489370000002,0.08119
769,10.042489370000002,0.003024
